
<0000> 这是一个在无穷无尽的100橙世界中\n或许会存在的一个平行世界里所发生的故事。
<0129> 「在这学校里不是总是能看到的吗？\n会“啵噗～”这么叫的家伙。」
<0130> 「米琪唠……」
<0131> 「不对。」
<0132> 「虽然本来就是群喜欢恶作剧的家伙，\n但这次好像连老师的身体都拿走了。」
<0133> 「所以啊，你们几个，\n把我的身体从那群老鼠们手中夺回来吧。」
<0134> 「她们在这所学校里占了自己的地盘，\n去那边应该能找到她们的吧。」
<0135> 「还有，要是有哪怕一个部件找不回来，\n你们就一块等着留级吧。」
<0136> 「咦！？」
<0137> 「哇！？」
<0138> 「我、我明明才刚入学，\n这就已经确定要留级了吗……！？」
<0139> 「不想变成那样的话就给我拼命去找吧！\n……不，说实话，真的拜托你们了。」
<0140> 「是啊，毕竟本来也是我们惹出来的事情，\n我们也必须加油去找啊！」
<0141> 「嗯，我也会加油的。」
<0142> 「只要大家一起齐心协力，\n肯定很快就能找到的！\n我们一起加油吧——！」
<0143> 「老师！\n部件全都已经找到了！」
<0144> 「哦哦！真的吗！谢了！\n那就赶紧装起来吧！」
<0145> 「好！请交给我吧！」
<0146> ……
<0147> 「我！复活了！」
<0148> 「太好了。」
<0149> 「总算搞定了。」
<0150> 「唉……差点都不知道会变成什么样了。\n你们几个，经过这次的教训就不要再\n飞着来上学了。」
<0151> 「对不起……」
<0152> 「可老师才是，\n说着“一群女学生来啦！”什么的就想来\n挡住我们。」
<0153> 「……早知道那么寒酸我就不去挡了。」
<0154> 「好过分！」
<0155> 「不过，能平安找到我就放心了。」
<0156> 「确实……\n明天开始要再提早一点上学才行。」
<0157> ……
<0158> 「今天也暖洋洋的好舒服啊。」
<0159> 「确实，\n但也不能太沉浸于晒太阳啊。」
<0160> 「嗯，要是又发生之前那样的事情就不好了。」
<0161> 「哎呀～\n可是这阳光，对一夜没睡的人来说\n未免也太亮了吧～」
<0162> 「秀拉，你又通宵了吗？」
<0163> 「社团活动社团活动！」
<0164> 「真是的。」
<0165> 「哼，\n你们一如既往还是这么悠闲自在啊！」
<0166> 「彼特！」
<0167> 「都说了！不要直呼名字！要加上学长啊！」
<0168> 「还有，\n我骑着这个的时候要叫我湛蓝乌鸦。」
<0169> 「早上好，学长～！\n你开始骑自行车上学了啊。」
<0170> 「呵呵呵，这是我的爱车湛蓝乌鸦！\n有了这家伙的速度，我可不会再迟到了！」
<0171> 「好帅啊。」
<0172> 「哈哈哈，对吧。\n回头见，我先走了！」
<0173> 「哇，喂！\n你骑得太快了啊，彼特！」
<0174> 「是湛蓝乌鸦！！」
<0175> 「啊，这下……」
<0176> 「怎么了吗，秀拉？」
<0177> 「我已经料到结局了。」
<0178> 「真是的，\n骑这么快的话，不就会和那时候一样……」
<0179> 『什么？老师竟然在这！！』
<0180> 『哇啊——！！男生离我远点！！』
<0181> 『呜哇——！！！』
<0182> 「啊……完美地七零八落了。」
<0183> 『啵噗～』
<0184> 「啊。」
<0185> 「是她们……」
<0186> 「这样下去的话，身体又要下落不明了……」
<0187> 「呜……\n我通宵到现在已经一点力气都没有了～」
<0188> 「在那些孩子们拿走之前赶紧收集起来吧！\n优空！秀拉！我们走吧！」
