
// ========= Scene: Stage 1 =========

// (lulu)
<0000> 「呜……好冷……」

// (ellie)
<0180> 「哈，哈，\n突、突然发生了好多事，\n头都开始晕起来了。」

// (ellie)
<0181> 「那个那个，\n这个蛋里的翅膀是什么？\n是露露生出来的吧？」

// (lulu)
<0182> 「不、不清楚，\n但是，每当艾莉为露露着想的时候，\n露露的肚子就会热起来。」

// (lulu)
<0183> 「然后在那个时候，\n突然就生下来了……」

// (ellie)
<0184> 「……原来如此，\n虽然还不太明白。」

// (ellie)
<0185> 「总而言之，\n这个翅膀是我们爱的结晶，\n也就是我们的孩子了！」

// (lulu)
<0186> 「是、是这样吗？」

// (ellie)
<0187> 「嗯……\n这可不得了了啊露露，\n有孩子了的话就意味着……」

// (ellie)
<0188> 「为了负起责任，\n我们必须永远都待在一起！」

// (lulu)
<0189> 「诶、诶？」

// (ellie)
<0190> 「所以露露。」

// (ellie)
<0191> 「一起旅行吧。」

// (lulu)
<0192> 「诶、诶诶！」

// (ellie)
<0193> 「当、当然了，\n前提是露露愿意的话。」

// (lulu)
<0194> 「当、当然没问题！\n露露很乐意！」

// (lulu)
<0195> 「露露也想和艾莉一起旅行！」

// (ellie)
<0196> 「啊哈～♥　太好了！」

// (lulu)
<0197> 「啊哈～呵呵。」

// (lulu)
<0198> 「嗯……那么艾莉。」

// (lulu)
<0199> 「以后就烦劳你照顾了。」

// (ellie)
<0200> 「我才是呢，\n以后就麻烦你了，露露！」

