<0000> 嘿！
<0094> 呵呵呵，我想淹没在闪闪发光的星之海里……
<0095> 啊哈～！我要弄座星星山！
<0096> 呲溜，星星不就是越多越好吗
<0097> 好好大闹一通，狠狠地打败敌人——！
<0098> 啊哈～！力量溢出来了！
<0099> 狩猎的时间到了！啊哈～～！！！！
<0100> 别想妨碍我！是我表现的时候了！
<0101> 你要和我一起吗？嗯……好啊♡
<0102> 我现在超想玩一通的
<0103> 啊哈～！好好玩个够吧！
<0104> 唔唔唔，我可能已经要忍不住了！
<0105> 好了，我该和谁一起玩呢？
<0106> 我要把你们全部击败！
<0107> 该我大显身手了！
<0108> 啊哈——！来肆无忌惮大闹一通吧！
<0109> 呼……好爽啊♡
<0110> 应得的胜利……对吧♡
<0111> 啊哈……获胜可是最开心的事了……
<0112> 哼哼哼，玩得太开心了
<0113> 让我看看是什么东西？
<0114> 哇～，真好啊
<0115> 中了什么东西？喔～
<0116> 都是因为带着我才会这么走运的，要尊敬着我点啊
<0117> 现在就先让你登场了
<0118> 要是只有我在大显身手的话也太可怜了吧
<0119> 那么差不多也该……
<0120> 好啊，换你来吧♡
<0121> OK♡
<0122> 啊哈，真不错
<0123> 好啊♡
<0124> 不～行♡
<0125> 呜……为什么啊……
<0126> 真走运啊！嘻嘻
<0127> 唔欸～？
<0128> Let's go！啊哈～！
<0129> Let's roll！
<0130> 加油啊♡ 加油啊♡
<0131> 呀吼～
<0132> 嗯嗯嗯嗯嗯……
<0133> 好厉害♡
<0134> 超级无敌厉害！
<0135> 咕呶呶呶呶
<0136> 其实就算不用这个我也已经无敌了……
<0137> 猜猜这是什么？这我也没数呀！
<0138> 嘿嘿嘿，这下可有趣了
<0139> 会怎么样，我好期待呀♡
<0140> 谢啦！
<0141> 露露！我们好好玩一通吧♡
<0142> 露露，你想和我一起玩吗？好啊
<0143> 我玩得很开心呢，露露♡
<0144> 啊哈，露露的力量，好棒啊……
<0145> 和露露一起的话，那就是最强中的最强了～
<0146> 露露，以后也要一直在一起哦
<0147> 露露最棒了，我也最棒了！
<0148> 啊哈，来好好玩一通吧，露露♡
<0149> 是爸爸啊……
<0150> 烦人！
<0151> 别管我啦
<0152> 臭老头子——！
<0153> 妈妈～，来玩吧！
<0154> 妈妈，你要陪我玩吗？
<0155> 妈妈，谢谢你和我玩♡
<0156> 妈妈好厉害～♡
<0157> 妈妈，一起加油吧♡
<0158> 耶，要和妈妈一队了
<0159> 我要和妈妈一起好好玩个够
<0160> 妈妈……可以牵着手吗？
<0161> 各位，准备好开始战斗了吗！
