
<0000> 「哼哼哼～哼～♪」
<0290> 「钱包！这下这个月也能放心了。」
<0291> 「总算拿回来了……\n这样我就可以继续工作了。」
<0292> 「我也得快点把这个拿回去。」
<0293> 「太好了，各位。」
<0294> 「既然布丁也拿回来了，\n待在这里已经没有意义了！」
<0295> 「赶紧回家开始点心时间！」
<0296> 「喂！等一下！」
<0297> 「才不等呢！」
<0298> 「我的话还没……」
<0299> 「唔哦哦哦哦！」
<0300> 「走掉了……」
<0301> \n \n　　　　　　　在QP家
<0302> 「呼……劳碌后的布丁果然美味啊。」
<0303> 「啊呜啊呜……」
<0304> 「今天也是幸福的一天啊。」
