
<0000> 「由希，把布丁还给我！」
<0124> 「呼哈哈哈哈哈！\n我是星球破坏者，\n星球的导火线！！」
<0125> 「星球破坏者……\n多么的不祥。」
<0126> 「哈哈哈哈！\n烧吧烧吧！\n全部都烧起来吧！」
<0127> 「怎么回事，兔萌萌，\n为什么会有这么危险的家伙在这里？」
<0128> 「那个，\n我感觉有这样疯狂的家伙在\n会不会比较有趣就……」
<0129> 「真是的，\n我们要是不阻止她的话，\n整个世界都会被烧掉的。」
<0130> 「好吧，确实是该阻止她呢。\n啵噗，我们上！」
<0131> 「啵噗！」
<0132> 「哦，你们找我有什么事吗？\n要过来被我烤吗？」
<0133> 「烤的东西仅限于甜点就够了，\n我会以神之名来阻止你的。」
<0134> 「哈……哈……好好玩……」
<0135> 「呜……只是这样的话，\n她竟然还能动吗？」
<0136> 「真是坚强啊……」
<0137> 「但是，有点饿了……\n好像闻到了什么很好闻的味道……」
<0138> 「好闻的味道……真的呢。」
<0139> 「这是……\n我刚才想封印的布丁被烤得刚刚好，\n变成烤布丁了。」
<0140> 「真的吗！？」
<0141> 「盯——」
<0142> 「难道说……\n你想吃这个布丁吗？」
<0143> 「肚子饿了。」
<0144> 「没办法了，\n对于追求甜点者的要求，\n我是没有理由拒绝的……\n请慢用。」
<0145> 「咬……好吃……」
<0146> 「真是的，\n明明拥有这么擅长烤布丁的能力，\n你竟然想着要用来战斗……？」
<0147> 「烤布丁……？\n这是我烤的吗？」
<0148> 「是呢，\n刚才在我们战斗的时候烤熟的。」
<0149> 「是这样啊。」
<0150> 「怎么了？」
<0151> 「咬……嚼嚼。」
<0152> 「真的太好吃了。我想要烤……\n更多更多好吃的东西。」
<0153> 「星球破坏者，\n想在战斗之外的地方使用\n自己的力量吗……？」
<0154> 「因为，\n我现在还很饿嘛。」
<0155> 「……」
<0156> 「虽然只是偶然\n但竟然阻止了星球的导火线。」
<0157> 「这才不是偶然，\n这是甜点的力量……布丁的力量。」
<0158> 「嗯，说的没错。」
<0159> 「非常美味的甜点虽然可能会引起争吵，\n但那美味的味道也能阻止争吵呢。」
<0160> 「甜点破坏者！\n那么关于布丁的封印……」
<0161> 「再观察一阵子吧。」
<0162> 「太棒了！」
<0163> 「不要管那么多啦，\n快点一起来烤更多甜点吧！」
<0164> 「好吧。不过不用着急嘛，\n接下来一起做牛奶布丁怎么样？」
<0165> 「小甜破……\n做那个甜点，并没有需要烤的地方啦……」
<0166> 「无所谓啦，\n好吃的话不管用不用烤都可以啦。」
<0167> 「可以吗！？」
<0168> 「呵呵呵。」
<0169> 「我是甜点破坏者，\n祈愿着甜点之力可终结一切纷争。」
